trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
0,0.9,-99.89999999999856,4.263256414560601e-14,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,0.0,999.0
1000,0.9,82.35800000000003,18.65535408401553,-99.8999999999986,88.90000000000003,82.00000000000003,83.00000000000003,87.30000000000004,0.99,230.05
2000,0.9,86.58800000000002,18.791637927546258,-99.19999999999864,91.50000000000001,88.07500000000002,88.70000000000002,89.45000000000003,0.99,265.4
3000,0.9,-17.572000000000372,56.17956226244574,-56.10000000000053,92.00000000000001,-52.72500000000048,-50.10000000000044,50.54999999999957,0.27,862.38
4000,0.9,92.241,0.27426082476358143,91.70000000000002,92.9,92.10000000000001,92.20000000000002,92.4,1.0,190.86
5000,0.9,89.28800000000003,19.0220676058097,-99.8999999999986,92.40000000000002,91.00000000000003,91.30000000000003,91.50000000000001,0.99,235.95
6000,0.9,-1.6390000000003244,63.034447558458275,-55.200000000000514,86.00000000000004,-53.40000000000049,-52.70000000000048,72.87499999999989,0.4,779.18
7000,0.9,93.992,0.734258809957359,91.9,94.8,93.7,94.30000000000001,94.5,1.0,168.96
8000,0.9,90.486,9.856541178324168,-7.39999999999999,94.30000000000001,91.30000000000001,91.40000000000002,91.50000000000001,0.99,167.17
9000,0.9,76.58999999999996,24.36812056765978,-43.80000000000035,94.10000000000001,73.7499999999999,81.10000000000001,89.00000000000003,0.96,442.3
10000,0.9,90.251,1.8102207047760728,83.50000000000003,92.70000000000002,89.12500000000001,90.80000000000001,91.50000000000001,1.0,231.03
