trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
0,0.9,-99.89999999999856,4.263256414560601e-14,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,0.0,999.0
1000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
2000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
3000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
4000,0.9,88.79674999999999,1.2166021073054258,86.0,91.0,87.84375,88.58749999999999,89.8875,1.0,363.76
5000,0.9,78.23275000000001,34.14639140798776,0.0,94.025,92.56249999999999,93.05000000000001,93.425,0.84,381.99
6000,0.9,74.09250000000002,39.1210316677615,-24.924999999999653,94.15,93.19375,93.475,93.8,0.8,340.91
7000,0.9,75.38550000000001,17.75410768667349,-42.7499999999997,86.39999999999999,75.09375,78.5375,82.05624999999998,0.98,490.9
8000,0.9,-30.669749999999944,1.3895965916408946,-33.97499999999993,-26.074999999999942,-31.556249999999963,-30.924999999999958,-30.09374999999995,0.0,999.0
9000,0.9,-49.12424999999994,1.4558822711675747,-53.42500000000001,-45.99999999999991,-49.949999999999946,-49.21249999999992,-47.96874999999992,0.0,999.0
10000,0.9,56.18750000000001,39.44293876918897,-99.8999999999986,85.72500000000001,59.05624999999998,70.32499999999997,74.78124999999994,0.9,649.21
