trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
0,1.0,-99.8999999999986,0.0,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,0.0,999.0
100,0.951217530242334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
200,0.9048147898403269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
300,0.8606756897186528,75.61200000000001,35.43270602141474,0.0,93.4,90.85000000000002,92.05000000000001,92.775,0.82,392.14
400,0.8186898039137951,-19.342000000000006,0.48870850207460764,-20.600000000000023,-17.999999999999986,-19.60000000000001,-19.400000000000006,-19.200000000000003,0.0,999.0
500,0.7787520933134615,88.41400000000003,1.8741408698387574,84.40000000000005,90.70000000000002,86.85000000000004,89.15000000000003,89.97500000000002,1.0,167.28
600,0.7407626428726788,36.18600000000001,41.792831969130795,-2.400000000000001,88.40000000000003,-0.6,0.0,83.92500000000004,0.44,741.34
700,0.7046264116491338,92.66000000000003,1.1144505372603986,91.10000000000002,94.00000000000001,91.60000000000002,92.60000000000002,93.775,1.0,106.8
800,0.6702529950324074,85.18800000000002,6.195276910679655,70.99999999999986,92.90000000000002,82.50000000000003,86.50000000000004,90.62500000000003,1.0,269.2
900,0.637556398572254,91.41600000000004,1.2035547349414528,89.20000000000003,92.90000000000002,90.52500000000003,91.05000000000003,92.70000000000002,1.0,116.58
1000,0.606454822840097,91.632,0.9513022653184382,90.70000000000002,93.60000000000001,91.00000000000001,91.20000000000002,92.42500000000001,1.0,130.34
1100,0.5768704587855094,-37.946000000000275,0.29271829461105164,-38.50000000000028,-37.40000000000026,-38.20000000000027,-37.95000000000027,-37.700000000000266,0.0,999.0
1200,0.548729293075715,91.82799999999999,0.8924214251125954,90.30000000000001,93.80000000000001,91.40000000000002,91.50000000000001,92.62500000000001,1.0,123.52
1300,0.5219609229311034,91.80400000000002,0.6663212438456362,90.90000000000002,93.10000000000001,91.40000000000002,91.50000000000001,92.275,1.0,118.66
1400,0.49649837999353363,87.62800000000007,26.795843259729477,-99.8999999999986,92.70000000000002,91.10000000000002,91.30000000000003,91.40000000000002,0.98,137.2
1500,0.4722779627867691,87.33600000000006,26.751603765007992,-99.8999999999986,92.4,90.90000000000002,91.10000000000002,91.20000000000002,0.98,140.74
1600,0.44923907734991153,87.90600000000006,26.834182752601013,-99.8999999999986,92.9,91.50000000000001,91.60000000000001,91.775,0.98,145.36
1700,0.4273240856451275,16.756000000000302,88.8847279570565,-90.69999999999912,94.8,-87.07499999999933,91.00000000000001,91.37500000000001,0.58,484.92
1800,0.406478161360422,93.28800000000003,0.8006597279743722,92.20000000000002,94.8,92.80000000000001,92.85000000000001,94.17500000000001,1.0,113.9
1900,0.3866491527467055,92.39600000000002,0.8756620352624608,91.60000000000001,94.10000000000001,91.80000000000001,91.9,93.20000000000002,1.0,115.74
2000,0.3677874521460121,92.8,0.7372923436466687,91.80000000000001,94.5,92.32500000000002,92.50000000000001,93.00000000000001,1.0,109.5
