trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
0,0.9,-99.89999999999856,4.263256414560601e-14,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,0.0,999.0
1000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
2000,0.9,-61.474000000000004,20.28841354073752,-95.19999999999887,0.0,-85.49999999999942,-48.900000000000425,-48.200000000000415,0.0,999.0
3000,0.9,62.54899999999988,39.418139212804185,-65.30000000000057,85.80000000000004,66.0999999999998,77.09999999999995,81.60000000000002,0.9,571.54
4000,0.9,86.33400000000002,25.52129001441743,-39.000000000000284,94.30000000000001,90.37500000000003,91.30000000000003,92.27500000000002,0.96,256.79
5000,0.9,21.273000000000025,51.79779117877518,-19.0,91.20000000000002,-17.799999999999983,-16.99999999999997,90.40000000000002,0.36,749.2
6000,0.9,85.18100000000004,22.589345696588943,-38.10000000000027,91.60000000000001,88.87500000000003,89.90000000000002,90.42500000000001,0.96,434.38
7000,0.9,30.45199999999982,67.38069676101624,-47.600000000000406,93.9,-46.50000000000039,75.84999999999992,93.22500000000001,0.57,580.37
8000,0.9,94.182,0.25431476559570815,92.60000000000001,94.60000000000001,94.10000000000001,94.2,94.30000000000001,1.0,146.12
9000,0.9,27.02699999999991,61.45650145428075,-35.70000000000024,94.9,-31.900000000000183,-29.400000000000148,94.5,0.48,618.1
10000,0.9,-0.7550000000003669,76.45359818216566,-65.90000000000053,95.3,-62.82500000000062,-59.650000000000574,94.625,0.39,647.08
