trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
0,0.9,-99.89999999999856,4.263256414560601e-14,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,0.0,999.0
1000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
2000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
3000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
4000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
5000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
6000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
7000,0.9,90.74800000000003,0.8912328539725142,89.40000000000003,92.70000000000002,89.97500000000002,90.65000000000002,91.20000000000002,1.0,203.56
8000,0.9,84.36000000000004,4.56550106779095,67.09999999999981,90.20000000000002,82.50000000000003,84.55000000000004,88.20000000000003,1.0,243.03
9000,0.9,86.27800000000003,2.9120638729258674,77.79999999999995,90.30000000000003,84.20000000000005,85.65000000000003,89.10000000000002,1.0,207.93
10000,0.9,89.22500000000002,1.2894475561262613,87.40000000000003,92.20000000000002,88.40000000000003,88.70000000000003,89.25000000000003,1.0,153.71
