trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
0,0.9,-99.89999999999856,4.263256414560601e-14,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,0.0,999.0
1000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
2000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
3000,0.9,91.89800000000001,9.981843316742655,-7.39999999999999,93.4,92.80000000000001,92.9,93.00000000000001,0.99,172.21
4000,0.9,89.79800000000003,19.133347746800474,-99.8999999999986,93.20000000000002,91.27500000000002,92.40000000000002,92.70000000000002,0.99,114.35
5000,0.9,89.73100000000004,19.153530718903884,-99.8999999999986,93.20000000000002,92.17500000000001,92.60000000000002,92.70000000000002,0.99,117.91
6000,0.9,89.69900000000003,2.2831335922367666,85.70000000000005,92.40000000000002,87.10000000000004,91.00000000000003,91.52500000000002,1.0,131.63
7000,0.9,91.891,1.1647398851245676,87.50000000000003,93.70000000000002,91.60000000000002,91.80000000000001,92.10000000000002,1.0,140.23
8000,0.9,93.05800000000004,0.7215511069910411,90.10000000000002,93.80000000000001,92.97500000000002,93.20000000000002,93.4,1.0,94.82
9000,0.9,92.42500000000001,10.036556929545112,-7.39999999999999,93.9,93.375,93.4,93.60000000000001,0.99,107.13
10000,0.9,91.179,19.208843249919934,-99.8999999999986,93.7,92.9,93.2,93.32500000000002,0.99,101.6
