trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
0,0.9,-99.89999999999856,4.263256414560601e-14,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,0.0,999.0
1000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
2000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
3000,0.9,92.193,0.8860310378310662,89.80000000000003,93.30000000000001,92.00000000000001,92.40000000000002,92.80000000000001,1.0,109.25
4000,0.9,90.48100000000004,0.21803440095544468,90.00000000000003,91.00000000000003,90.30000000000003,90.50000000000003,90.60000000000002,1.0,159.81
5000,0.9,92.84400000000004,0.8287725864192146,91.50000000000001,93.9,91.90000000000002,93.30000000000001,93.50000000000001,1.0,112.85
6000,0.9,87.45900000000007,18.857084053479607,-99.8999999999986,91.40000000000002,88.70000000000003,88.85000000000002,89.37500000000003,0.99,158.34
7000,0.9,93.374,0.29987330658129463,92.40000000000002,94.00000000000001,93.20000000000002,93.4,93.50000000000001,1.0,94.22
8000,0.9,-90.8679999999991,1.0475571583450114,-92.69999999999901,-88.89999999999922,-91.69999999999906,-91.0999999999991,-89.99999999999916,0.0,999.0
9000,0.9,92.28400000000002,10.146986941944885,-7.39999999999999,94.9,91.20000000000002,94.30000000000001,94.60000000000001,0.99,113.91
10000,0.9,92.947,10.097905277828666,-7.39999999999999,94.7,93.775,94.10000000000001,94.30000000000001,0.99,100.8
