trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
0,0.9,-99.89999999999856,4.263256414560601e-14,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,0.0,999.0
1000,0.9,-3.722999999999989,11.460007460730548,-13.899999999999967,92.30000000000001,-12.89999999999997,0.0,0.0,0.01,991.93
2000,0.9,-44.85000000000049,30.89812777499639,-56.000000000000526,72.59999999999988,-54.3000000000005,-53.800000000000495,-53.30000000000049,0.08,976.65
3000,0.9,-53.454000000000015,22.489768429220668,-99.8999999999986,-40.0000000000003,-44.125000000000355,-42.00000000000033,-41.50000000000032,0.0,999.0
4000,0.9,90.84800000000003,0.40011998200539656,89.70000000000003,91.60000000000002,90.70000000000002,90.80000000000003,91.10000000000002,1.0,177.98
5000,0.9,90.40800000000004,19.13229562807335,-99.8999999999986,93.00000000000001,91.97500000000002,92.45000000000002,92.70000000000002,0.99,158.99
6000,0.9,91.141,1.1437740161412955,88.20000000000003,93.2,90.37500000000001,91.35000000000002,91.92500000000001,1.0,147.38
7000,0.9,91.25500000000002,19.214262280920245,-99.8999999999986,93.9,93.00000000000001,93.10000000000001,93.4,0.99,149.72
8000,0.9,94.01600000000002,0.7252199666308119,91.30000000000001,95.1,93.7,94.0,94.525,1.0,127.45
9000,0.9,92.64500000000002,10.088888690039155,-7.39999999999999,95.2,93.07500000000002,93.65,94.10000000000001,0.99,167.13
10000,0.9,94.305,0.3909923272904441,93.30000000000001,95.0,94.10000000000001,94.30000000000001,94.60000000000001,1.0,99.11
