trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
0,0.9,-99.89999999999856,4.263256414560601e-14,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,0.0,999.0
1000,0.9,-31.984000000000183,0.6761242489365493,-33.70000000000021,-30.500000000000163,-32.40000000000019,-32.000000000000185,-31.47500000000018,0.0,999.0
2000,0.9,68.08200000000001,39.17296613737592,-8.099999999999987,93.30000000000001,87.20000000000005,89.50000000000003,90.30000000000003,0.76,462.55
3000,0.9,87.13300000000002,2.137618066914669,76.69999999999995,90.20000000000002,85.50000000000004,87.85000000000004,88.72500000000002,1.0,241.36
4000,0.9,-40.545000000000016,21.837922863678767,-92.19999999999904,-23.000000000000057,-36.12500000000024,-31.70000000000018,-28.575000000000138,0.0,999.0
5000,0.9,-26.532000000000142,11.592936470109786,-33.2000000000002,0.0,-31.70000000000018,-31.300000000000175,-30.90000000000017,0.0,999.0
6000,0.9,29.403000000000006,41.902631074909856,-3.0000000000000013,91.00000000000001,-0.6,-0.05,87.10000000000004,0.34,747.96
7000,0.9,-41.69500000000025,10.300304607146048,-99.8999999999986,-38.70000000000028,-40.0000000000003,-39.800000000000296,-39.60000000000029,0.0,999.0
8000,0.9,-45.64200000000038,4.415273037989886,-48.60000000000042,-7.39999999999999,-47.500000000000405,-46.65000000000039,-45.07500000000037,0.0,999.0
9000,0.9,91.03900000000002,9.95203391272357,-7.39999999999999,93.10000000000001,91.97500000000001,92.50000000000001,92.70000000000002,0.99,184.94
10000,0.9,-13.967999999999972,6.126693725003713,-18.29999999999999,0.0,-16.92499999999997,-16.349999999999962,-15.974999999999959,0.0,999.0
