trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
0,0.9,-99.89999999999856,4.263256414560601e-14,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,0.0,999.0
1000,0.9,72.638,29.743371631339986,-12.99999999999997,87.80000000000004,78.84999999999998,85.00000000000004,86.10000000000004,0.89,536.41
2000,0.9,32.21400000000001,44.1989344215446,-0.8999999999999999,93.00000000000001,-0.22500000000000003,0.0,92.30000000000001,0.35,717.57
3000,0.9,49.509000000000015,48.03889069285427,-10.799999999999978,93.5,-9.099999999999984,86.55000000000004,88.70000000000002,0.6,570.58
4000,0.9,11.4329999999998,56.35680802706991,-42.600000000000335,87.70000000000003,-40.70000000000031,-38.750000000000284,73.5249999999999,0.44,821.73
5000,0.9,70.17300000000002,36.46050974684803,-17.69999999999998,89.90000000000002,83.57500000000003,86.45000000000003,88.00000000000003,0.83,452.37
6000,0.9,14.558999999999765,70.65764091023726,-52.70000000000048,92.00000000000001,-51.90000000000047,-51.45000000000046,89.30000000000003,0.47,658.64
7000,0.9,-17.327000000000044,16.76638216789778,-27.000000000000114,85.60000000000004,-24.200000000000074,-22.750000000000053,-20.600000000000023,0.02,992.69
8000,0.9,79.12000000000002,31.6736641391551,-12.99999999999997,91.70000000000002,89.87500000000003,90.40000000000002,90.72500000000002,0.89,359.38
9000,0.9,78.08500000000002,31.346120573366015,-12.99999999999997,91.90000000000002,86.90000000000003,89.05000000000003,90.62500000000003,0.89,401.4
10000,0.9,68.18200000000002,34.60232760956986,-24.60000000000008,91.20000000000002,78.52499999999998,83.80000000000004,87.45000000000003,0.81,650.26
